date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-11 23:11:44,a1ewifey,,0,0,0,"rewatched parasite @the cinema and the old ladies in front of us spent the whole film making racist ""coronavirus"" remarks pic.twitter.com/P8N18Nc0P3",,@the,,1237878906998247424,https://twitter.com/a1ewifey/status/1237878906998247424
2020-03-11 23:10:24,gothmaple,Parasite,0,0,0,"hi christopher mate",,,,1237878568966696960,https://twitter.com/gothmaple/status/1237878568966696960
2020-03-11 23:08:23,trevon_dorn,ReverseGoblin,0,1,2,"Bane Darksied Hunter Zoloman Sinestro Mr. Freeze Metallo Parasite Imperiex Clayface",,,,1237878064849305600,https://twitter.com/trevon_dorn/status/1237878064849305600
2020-03-11 23:08:14,patrick_mazz,filmaroni,0,0,0,"i KNOW i don’t see Parasite on there.... and if not that, watch The Last Black Man In San Francisco, it’s great",,,,1237878023828848641,https://twitter.com/patrick_mazz/status/1237878023828848641
2020-03-11 23:07:45,Lotte1191,,0,0,0,"I have no self confidence what so ever and then the blood sucking parasite just drains out that little bit you have! I'm doing it all on my own now! Sit in your ""stinking hole"" that I kept over your head for years",,,,1237877901757800450,https://twitter.com/Lotte1191/status/1237877901757800450
2020-03-11 23:07:43,NealParkes,BolgerLorraine,2,0,0,"I think you meant to say “ I am talking shite!!” Pneumonia is a condition that can be cause be either bacteria, a virus, fungi or parasite. Antibiotics only work on bacteria not on anything else. Even Wikipedia states this.",,,,1237877892974968834,https://twitter.com/NealParkes/status/1237877892974968834
2020-03-11 23:07:25,thelataviayoung,,0,0,0,"I just saw a light flickering and stopped dead in my tracks. I saw Parasite for the first time on Sunday...",,,,1237877821151690752,https://twitter.com/thelataviayoung/status/1237877821151690752
2020-03-11 23:06:51,st4rryminie,,1,0,2,"i just got out of the cinema n !!! parasite was fucking insane i liked it a lot i recommend pic.twitter.com/lmjBVFJuyK",,,,1237877675718356994,https://twitter.com/st4rryminie/status/1237877675718356994
2020-03-11 23:05:53,mvhir,,0,0,0,"parasite was amazing",,,,1237877433405075457,https://twitter.com/mvhir/status/1237877433405075457
2020-03-11 23:05:46,Come_Trues,,0,0,0,"Parasite Joker Marriage story Appocalipto Green Mile Jojo rabit Inception Avatar Memento Lucy Gone Girl Man of the Moon Great Scape Mad Max Pulp Fiction As far as my feet will carry me My name is khan 3 idiot (indian) Interstellar Pursuit of Happiness Hitch",,,,1237877403289935873,https://twitter.com/Come_Trues/status/1237877403289935873
2020-03-11 23:05:39,awosjoon,,0,0,1,"The only “good thing” that’s happened in 2020 so far is parasite winning best picture... we are 3 months in.",,,,1237877376870010881,https://twitter.com/awosjoon/status/1237877376870010881
2020-03-11 23:05:31,raceri0ts,,1,0,2,"bitches will watch parasite and think they know everything about films. bitch if you don't go watch Dude, Where's My Car? (2000)...",,,,1237877340505427974,https://twitter.com/raceri0ts/status/1237877340505427974
2020-03-11 23:04:20,___geetam___,,0,0,0,"The elucidation of socioeconomic status between the rich and poor in The parasite Movie is such an amazing work.",,,,1237877041904533509,https://twitter.com/___geetam___/status/1237877041904533509
2020-03-11 23:04:19,jiminscinnroll,,0,0,0,"10/10 would recommend you see parasite",,,,1237877037546651648,https://twitter.com/jiminscinnroll/status/1237877037546651648
2020-03-11 23:04:18,SheIsPepimetric,,0,0,0,"After seeing parasite I really don't want to see het sex in a long time",,,,1237877033713065985,https://twitter.com/SheIsPepimetric/status/1237877033713065985
